date,open,high,low,close
2018-01-02,2867.53,2912.27,2867.53,2908.73
2018-01-03,2914.28,2947.63,2906.6,2913.26
2018-01-04,2918.26,2934.15,2910.66,2919.48
2018-01-05,2926.78,2940.18,2920.08,2932.36
2018-01-08,2933.82,2952.34,2926.87,2947.76
2018-01-09,2947.55,2972.43,2947.12,2969.32
2018-01-10,2968.34,2999.75,2966.18,2995.56
2018-01-11,2986.79,3009.99,2981.33,2997.04
2018-01-12,2997.9,3019.7,2993.56,3018.6
2018-01-15,3027.2,3070.94,3022.47,3048.81
2018-01-16,3041.36,3065.19,3035.77,3063.86
2018-01-17,3071.5,3132.99,3060.22,3076.18
2018-01-18,3096.2,3125.86,3084.28,3106.55
2018-01-19,3122.67,3145.99,3100.41,3117.82
2018-01-22,3104.96,3144.85,3104.4,3130.33
2018-01-23,3145.11,3177.76,3144.28,3176.5
2018-01-24,3189.77,3202.47,3150.55,3180.33
2018-01-25,3171.35,3177.41,3124.46,3157.46
2018-01-26,3147.48,3195.07,3147.48,3172.78
2018-01-29,3184.3,3197.84,3107.96,3120.7
2018-01-30,3109.19,3127.75,3077.31,3079.12
2018-01-31,3063.23,3118.76,3062.53,3116.83
2018-02-01,3120.13,3141.77,3101.34,3141.23
2018-02-02,3113.3,3150.7,3082.99,3149.64
2018-02-05,3098.67,3181.59,3095.99,3181.34
2018-02-06,3114.35,3140.03,3094.49,3117.49
2018-02-07,3147.32,3166.7,3020.39,3029.6
2018-02-08,2998.6,3019.27,2911.4,2945.84
2018-02-09,2857.43,2871.54,2724.59,2810.03
2018-02-12,2803.86,2823.81,2776.96,2805.21
2018-02-13,2834.39,2887.89,2834.39,2852.72
2018-02-14,2859.87,2877.04,2841.24,2871.79
2018-02-22,2915.97,2936.85,2900.87,2931.88
2018-02-23,2941.42,2966.75,2926.36,2957.17
2018-02-26,2973.81,2986.81,2933.52,2973.79
2018-02-27,2979.77,2979.77,2918.01,2927.1
2018-02-28,2899.0,2905.57,2866.46,2878.67
2018-03-01,2859.09,2907.27,2852.49,2891.3
2018-03-02,2864.18,2887.89,2852.01,2864.18
2018-03-05,2865.2,2889.74,2846.93,2863.99
2018-03-06,2878.92,2893.46,2838.61,2892.48
2018-03-07,2892.44,2921.44,2868.04,2878.15
2018-03-08,2878.82,2903.05,2865.55,2898.25
2018-03-09,2907.04,2916.55,2891.87,2908.2
2018-03-12,2922.62,2927.51,2897.24,2909.58
2018-03-13,2909.25,2921.31,2878.2,2883.38
2018-03-14,2871.72,2879.54,2860.97,2871.33
2018-03-15,2860.41,2895.61,2860.41,2894.98
