date,open,high,low,close
2018-01-02,11079.64,11178.05,11072.87,11178.05
2018-01-03,11181.18,11316.46,11171.12,11280.3
2018-01-04,11270.91,11341.35,11259.46,11341.35
2018-01-05,11339.57,11372.29,11310.29,11342.85
2018-01-08,11343.82,11386.04,11287.6,11382.72
2018-01-09,11371.93,11449.6,11358.13,11447.09
2018-01-10,11439.22,11446.41,11345.1,11437.08
2018-01-11,11411.58,11482.81,11372.36,11464.2
2018-01-12,11459.46,11496.53,11420.26,11461.99
2018-01-15,11453.33,11476.58,11277.31,11307.46
2018-01-16,11283.6,11402.46,11283.29,11386.91
2018-01-17,11366.6,11367.16,11185.92,11303.97
2018-01-18,11287.64,11375.11,11279.42,11319.91
2018-01-19,11314.46,11393.04,11276.57,11296.27
2018-01-22,11289.86,11513.08,11273.69,11513.08
2018-01-23,11514.56,11564.95,11493.74,11555.25
2018-01-24,11548.21,11613.95,11456.26,11607.57
2018-01-25,11588.38,11633.46,11548.68,11552.56
2018-01-26,11524.7,11605.13,11512.94,11557.82
2018-01-29,11547.68,11556.65,11323.69,11352.72
2018-01-30,11319.97,11370.0,11260.31,11278.78
2018-01-31,11210.06,11244.18,11119.32,11159.68
2018-02-01,11145.41,11171.36,10836.35,10864.34
2018-02-02,10794.13,10933.15,10663.54,10925.16
2018-02-05,10761.08,10873.24,10741.85,10836.25
2018-02-06,10603.53,10685.16,10377.61,10377.61
2018-02-07,10563.31,10599.54,10173.66,10246.97
2018-02-08,10219.39,10411.2,10219.21,10372.59
2018-02-09,10096.47,10172.78,9868.83,10001.23
2018-02-12,10059.86,10325.68,10059.86,10291.88
2018-02-13,10367.68,10486.81,10350.17,10362.43
2018-02-14,10381.16,10433.09,10319.15,10431.91
2018-02-22,10547.81,10667.8,10526.98,10658.94
2018-02-23,10667.81,10700.11,10578.79,10662.79
2018-02-26,10731.31,10920.21,10670.17,10895.56
2018-02-27,10898.29,10915.36,10791.95,10807.53
